,count,mean,std,min,25%,50%,75%,max,missing_percent,unique_val,var_type
age,899.0,53.480533926585096,9.435893735264393,28.0,47.0,54.0,60.0,77.0,0.0,50,numerical
sex,899.0,0.7908787541713015,0.4069075150665073,0.0,1.0,1.0,1.0,1.0,0.0,2,categorical
painloc,617.0,0.9205834683954619,0.27060715149557324,0.0,1.0,1.0,1.0,1.0,0.3136818687430478,2,categorical
painexer,617.0,0.593192868719611,0.49163689293473173,0.0,0.0,1.0,1.0,1.0,0.3136818687430478,2,categorical
relrest,613.0,0.6721044045676998,0.4698299395402673,0.0,0.0,1.0,1.0,1.0,0.3181312569521691,2,categorical
cp,899.0,3.253615127919911,0.9284993705475487,1.0,3.0,4.0,4.0,4.0,0.0,4,categorical
trestbps,840.0,132.10119047619048,19.151127173140914,0.0,120.0,130.0,140.0,200.0,0.06562847608453838,60,numerical
htn,865.0,0.47630057803468207,0.4997269646295928,0.0,0.0,0.0,1.0,1.0,0.03781979977753059,2,categorical
chol,869.0,198.7594936708861,111.83441478228987,0.0,175.0,224.0,269.0,603.0,0.03337041156840934,213,numerical
smoke,230.0,0.5173913043478261,0.500787304965776,0.0,0.0,1.0,1.0,1.0,0.7441601779755284,2,categorical
cigs,479.0,19.11899791231733,18.296272634041035,0.0,0.0,20.0,30.0,99.0,0.4671857619577308,25,numerical
years,467.0,18.796573875803,16.359144816822518,0.0,0.0,20.0,30.0,60.0,0.48053392658509453,42,numerical
fbs,809.0,0.1668726823238566,0.3730928199985952,0.0,0.0,0.0,0.0,1.0,0.10011123470522804,2,categorical
dm,95.0,0.9578947368421052,0.20189472049435528,0.0,1.0,1.0,1.0,1.0,0.8943270300333704,2,categorical
famhist,477.0,0.5639412997903563,0.4964152807890064,0.0,0.0,1.0,1.0,1.0,0.4694104560622914,2,categorical
restecg,897.0,0.6031215161649944,0.8036685276933777,0.0,0.0,0.0,1.0,2.0,0.002224694104560623,3,categorical
ekgmo,846.0,5.973995271867612,3.4864790221045716,1.0,3.0,6.0,9.0,12.0,0.058954393770856504,12,categorical
ekgday,845.0,15.493491124260355,8.761939329114838,1.0,8.0,16.0,23.0,31.0,0.060066740823136816,31,categorical
ekgyr,846.0,84.05673758865248,1.6402036948637182,81.0,83.0,84.0,85.0,87.0,0.058954393770856504,7,categorical
dig,831.0,0.03489771359807461,0.18363126458235665,0.0,0.0,0.0,0.0,1.0,0.07563959955506118,2,categorical
prop,833.0,0.28331332533013204,0.8709646337801438,0.0,0.0,0.0,1.0,22.0,0.07341490545050056,3,categorical
nitr,834.0,0.26618705035971224,0.44222844343466383,0.0,0.0,0.0,1.0,1.0,0.07230255839822025,2,categorical
pro,836.0,0.1722488038277512,0.3778225865201748,0.0,0.0,0.0,0.0,1.0,0.07007786429365963,2,categorical
diuretic,817.0,0.11260709914320685,0.3163055478590332,0.0,0.0,0.0,0.0,1.0,0.09121245828698554,2,categorical
proto,787.0,37.08132147395172,50.14455941539374,1.0,1.0,5.0,75.0,200.0,0.12458286985539488,14,categorical
thaldur,843.0,8.655871886120996,3.74661738716407,1.0,6.0,8.1,10.5,24.0,0.06229143492769744,86,numerical
thaltime,446.0,5.690358744394619,3.9946730098073004,0.0,3.0,6.0,8.0,20.0,0.5038932146829811,64,numerical
met,794.0,16.483123425692693,30.77280111709958,2.0,5.0,7.0,10.0,200.0,0.1167964404894327,34,numerical
thalach,844.0,137.29857819905214,25.965959061905526,60.0,120.0,140.0,157.0,202.0,0.06117908787541713,119,numerical
thalrest,843.0,75.48754448398577,14.7279614823798,37.0,65.0,74.0,84.0,139.0,0.06229143492769744,75,numerical
tpeakbps,836.0,171.64114832535884,25.73448825265187,84.0,155.0,170.0,190.0,240.0,0.07007786429365963,74,numerical
tpeakbpd,836.0,87.29306220095694,14.73458596858383,11.0,80.0,88.0,100.0,134.0,0.07007786429365963,51,numerical
dummy,840.0,132.10119047619048,19.151127173140914,0.0,120.0,130.0,140.0,200.0,0.06562847608453838,60,numerical
trestbpd,840.0,83.52380952380952,10.252562911627598,0.0,80.0,80.0,90.0,120.0,0.06562847608453838,34,numerical
exang,844.0,0.3909952606635071,0.48826266677755925,0.0,0.0,0.0,1.0,1.0,0.06117908787541713,2,categorical
xhypo,841.0,0.026159334126040427,0.15970394726771597,0.0,0.0,0.0,0.0,1.0,0.06451612903225806,2,categorical
oldpeak,837.0,0.8704898446833931,1.0805484935191512,-2.6,0.0,0.5,1.5,6.2,0.06896551724137931,52,numerical
slope,591.0,1.766497461928934,0.6213389720707098,0.0,1.0,2.0,2.0,3.0,0.3426028921023359,4,categorical
rldv5,474.0,14.39873417721519,5.702942239874546,2.0,10.0,14.0,18.0,36.0,0.4727474972191324,31,numerical
rldv5e,757.0,54.91413474240423,60.30942500463114,2.0,12.0,19.0,102.0,270.0,0.15795328142380421,141,numerical
ca,291.0,0.697594501718213,1.052727682230871,0.0,0.0,0.0,1.0,9.0,0.6763070077864294,5,numerical
exerckm,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.9988876529477196,1,numerical
restef,28.0,0.5310714285714285,0.14619467705044395,0.22,0.4075,0.5700000000000001,0.625,0.8,0.9688542825361512,24,numerical
restwm,30.0,1.0333333333333334,1.0661996103898193,0.0,0.0,1.0,2.0,3.0,0.9666295884315906,4,categorical
exeref,2.0,0.55,0.07071067811865474,0.5,0.525,0.55,0.575,0.6,0.9977753058954394,2,numerical
exerwm,5.0,0.2,0.44721359549995804,0.0,0.0,0.0,0.0,1.0,0.9944382647385984,2,categorical
thal,422.0,5.018957345971564,1.949388320673856,1.0,3.0,6.0,7.0,7.0,0.5305895439377085,7,categorical
thalsev,130.0,1.2846153846153847,0.9583142125597621,0.0,0.0,1.0,2.0,3.0,0.8553948832035595,4,numerical
thalpul,44.0,0.29545454545454547,0.4615215208036402,0.0,0.0,0.0,1.0,1.0,0.9510567296996663,2,numerical
earlobe,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.9988876529477196,1,numerical
cmo,888.0,6.122747747747748,3.474114373856023,1.0,3.0,6.0,9.0,12.0,0.012235817575083427,12,categorical
cday,890.0,15.98876404494382,8.860872373141595,1.0,8.0,16.0,23.75,31.0,0.010011123470522803,31,categorical
cyr,890.0,83.83932584269662,4.407533125390255,1.0,83.0,84.0,85.0,87.0,0.010011123470522803,11,categorical
target,899.0,0.5506117908787542,0.49770874068198107,0.0,0.0,1.0,1.0,1.0,0.0,2,categorical
